Experience (Years),Projects Count,Certifications Count,Education,Skills Count,Resume Pages,Job Role,Experience Level
12,7,0,PhD,5,1,AI Researcher,Experienced
13,1,0,Bachelor's,6,1,System Analyst,Experienced
5,3,0,Bachelor's,6,1,System Analyst,Experienced
8,3,3,PhD,11,3,AI Researcher,Experienced
11,4,2,Bachelor's,12,3,AI Researcher,Experienced
4,5,2,Master's,14,1,Data Scientist,Intermediate
3,5,3,Bachelor's,7,3,Software Engineer,Intermediate
8,7,4,PhD,7,2,AI Researcher,Experienced
9,7,1,Master's,7,3,AI Researcher,Experienced
6,2,3,Master's,11,2,AI Researcher,Experienced
9,1,4,PhD,8,3,Software Engineer,Experienced
13,8,1,PhD,11,2,Software Engineer,Experienced
10,10,1,Bachelor's,7,1,AI Researcher,Experienced
4,6,2,PhD,10,1,Project Manager,Intermediate
0,6,3,Bachelor's,3,3,Data Scientist,Experienced
6,9,4,Bachelor's,6,2,Data Scientist,Experienced
11,3,4,PhD,14,2,AI Researcher,Experienced
6,10,1,Bachelor's,5,3,AI Researcher,Experienced
13,3,4,Bachelor's,15,2,Project Manager,Experienced
11,10,3,Master's,14,1,Data Scientist,Experienced
14,9,0,Bachelor's,5,1,AI Researcher,Experienced
11,9,3,PhD,3,1,Software Engineer,Experienced
7,1,4,Bachelor's,8,2,System Analyst,Experienced
11,5,4,Bachelor's,13,1,Software Engineer,Experienced
3,3,2,Bachelor's,6,1,Data Scientist,Intermediate
1,9,0,Master's,3,1,AI Researcher,Fresher
5,6,2,Master's,9,1,Data Scientist,Experienced
10,10,3,Master's,10,1,Software Engineer,Experienced
7,10,3,Bachelor's,6,2,AI Researcher,Experienced
7,10,3,Bachelor's,4,1,AI Researcher,Experienced
8,4,2,Master's,8,3,AI Researcher,Experienced
0,9,0,Master's,7,1,AI Researcher,Fresher
11,3,4,PhD,8,2,System Analyst,Experienced
2,5,0,PhD,4,2,AI Researcher,Intermediate
7,2,2,Bachelor's,15,1,Data Scientist,Experienced
6,8,0,Master's,8,1,Data Scientist,Experienced
1,1,2,Bachelor's,7,2,System Analyst,Experienced
14,9,2,PhD,13,1,System Analyst,Experienced
12,1,1,Bachelor's,11,3,Project Manager,Experienced
14,1,4,Bachelor's,9,2,Software Engineer,Experienced
11,1,4,PhD,7,2,AI Researcher,Experienced
2,5,4,PhD,7,1,System Analyst,Intermediate
9,10,2,Bachelor's,3,1,Software Engineer,Experienced
13,9,0,PhD,5,1,Software Engineer,Experienced
12,4,0,Bachelor's,3,2,Software Engineer,Experienced
11,8,1,PhD,12,2,Software Engineer,Experienced
5,6,2,PhD,13,2,Data Scientist,Experienced
11,1,3,Master's,7,2,Software Engineer,Experienced
13,9,0,PhD,9,3,Data Scientist,Experienced
4,5,1,PhD,13,3,System Analyst,Intermediate
6,6,3,Bachelor's,4,2,System Analyst,Experienced
1,2,1,Bachelor's,13,3,AI Researcher,Experienced
14,2,3,PhD,11,2,System Analyst,Experienced
0,8,3,PhD,9,2,System Analyst,Experienced
2,1,4,Master's,15,2,Project Manager,Intermediate
7,1,1,Bachelor's,3,1,Project Manager,Experienced
1,6,4,Bachelor's,4,1,Project Manager,Fresher
13,3,0,Master's,9,3,Data Scientist,Experienced
14,6,3,PhD,10,1,Project Manager,Experienced
2,3,2,Master's,15,2,Project Manager,Intermediate
12,10,2,Bachelor's,5,1,Software Engineer,Experienced
4,2,3,Master's,12,1,System Analyst,Intermediate
5,5,0,PhD,7,1,Software Engineer,Experienced
11,10,1,Bachelor's,3,2,System Analyst,Experienced
9,9,1,Bachelor's,11,3,System Analyst,Experienced
8,6,2,Master's,15,1,Data Scientist,Experienced
9,4,0,Master's,10,1,Software Engineer,Experienced
2,4,1,Bachelor's,14,3,Project Manager,Intermediate
13,8,1,Master's,15,2,Data Scientist,Experienced
13,8,2,Master's,9,3,System Analyst,Experienced
14,7,2,PhD,14,1,Project Manager,Experienced
1,10,2,PhD,5,3,System Analyst,Experienced
8,7,4,Bachelor's,14,2,System Analyst,Experienced
6,9,0,Master's,9,2,Software Engineer,Experienced
9,9,0,Bachelor's,15,1,Project Manager,Experienced
3,10,2,Bachelor's,11,1,Software Engineer,Intermediate
1,4,1,PhD,10,1,System Analyst,Fresher
11,3,1,Bachelor's,11,1,Project Manager,Experienced
5,4,1,Master's,4,3,System Analyst,Experienced
7,6,4,Bachelor's,11,1,Project Manager,Experienced
4,6,4,Bachelor's,8,2,Project Manager,Intermediate
6,4,2,PhD,10,3,AI Researcher,Experienced
8,7,2,Master's,5,3,Software Engineer,Experienced
7,5,3,Bachelor's,10,3,AI Researcher,Experienced
5,2,3,Master's,14,3,Software Engineer,Experienced
3,6,0,Bachelor's,10,2,Project Manager,Intermediate
2,9,1,Bachelor's,13,2,Project Manager,Intermediate
2,5,1,Bachelor's,8,3,AI Researcher,Intermediate
3,1,3,PhD,3,3,AI Researcher,Intermediate
0,10,4,PhD,13,3,Software Engineer,Experienced
3,3,0,Bachelor's,8,2,Software Engineer,Intermediate
7,10,4,PhD,9,2,Data Scientist,Experienced
11,2,4,PhD,10,2,Software Engineer,Experienced
3,1,4,Master's,11,1,System Analyst,Intermediate
8,8,2,PhD,3,1,Data Scientist,Experienced
13,2,4,Master's,10,3,Data Scientist,Experienced
8,2,3,Bachelor's,5,3,Project Manager,Experienced
0,8,3,Master's,15,3,Software Engineer,Experienced
8,5,3,Master's,5,1,Data Scientist,Experienced
4,5,2,PhD,13,2,Data Scientist,Intermediate
9,4,0,PhD,15,2,Software Engineer,Experienced
8,2,2,Master's,15,2,System Analyst,Experienced
0,7,0,Master's,11,1,System Analyst,Fresher
0,7,1,PhD,7,3,Data Scientist,Experienced
6,3,2,Bachelor's,9,3,Data Scientist,Experienced
7,10,3,Bachelor's,15,1,AI Researcher,Experienced
3,7,2,Bachelor's,6,1,Data Scientist,Intermediate
5,9,0,PhD,15,1,Project Manager,Experienced
10,7,0,Master's,6,2,Data Scientist,Experienced
1,10,4,Master's,13,2,Data Scientist,Experienced
0,6,4,PhD,6,1,Software Engineer,Fresher
7,4,4,Master's,10,1,Software Engineer,Experienced
12,4,3,Master's,15,2,Data Scientist,Experienced
10,3,2,Bachelor's,6,2,AI Researcher,Experienced
10,5,3,Master's,13,2,Project Manager,Experienced
9,8,1,Bachelor's,13,2,Data Scientist,Experienced
12,8,1,Bachelor's,11,1,Data Scientist,Experienced
14,8,3,Master's,13,1,Project Manager,Experienced
7,5,1,Master's,3,3,Software Engineer,Experienced
9,9,2,Master's,15,2,Project Manager,Experienced
7,9,2,PhD,9,1,System Analyst,Experienced
13,5,4,Master's,12,2,System Analyst,Experienced
3,6,0,Master's,3,3,Software Engineer,Intermediate
5,7,2,Bachelor's,10,3,Project Manager,Experienced
4,9,4,Bachelor's,11,2,System Analyst,Intermediate
3,9,4,Master's,12,1,Software Engineer,Intermediate
2,4,0,Bachelor's,12,3,System Analyst,Intermediate
5,2,1,Master's,13,2,Project Manager,Experienced
10,1,2,PhD,13,3,Project Manager,Experienced
2,6,0,Master's,9,2,System Analyst,Intermediate
4,8,0,PhD,3,1,Software Engineer,Intermediate
14,6,1,Master's,14,2,System Analyst,Experienced
4,1,0,Bachelor's,6,1,Project Manager,Intermediate
0,4,3,Bachelor's,15,1,AI Researcher,Fresher
6,1,4,Bachelor's,9,3,System Analyst,Experienced
10,8,2,PhD,15,1,Data Scientist,Experienced
12,8,2,Master's,4,1,AI Researcher,Experienced
13,3,1,Bachelor's,4,2,Project Manager,Experienced
11,1,1,PhD,8,3,Project Manager,Experienced
14,4,0,PhD,10,1,Software Engineer,Experienced
6,7,2,PhD,12,2,Project Manager,Experienced
2,2,3,PhD,3,3,Project Manager,Intermediate
6,2,4,PhD,10,1,AI Researcher,Experienced
8,7,2,Master's,10,3,AI Researcher,Experienced
10,8,0,PhD,7,3,Project Manager,Experienced
2,1,3,PhD,10,2,Data Scientist,Intermediate
2,8,2,Bachelor's,6,1,AI Researcher,Intermediate
5,5,1,PhD,9,2,AI Researcher,Experienced
6,1,4,PhD,5,1,Data Scientist,Experienced
2,4,4,PhD,14,2,System Analyst,Intermediate
1,1,4,Master's,6,3,AI Researcher,Experienced
9,2,2,PhD,9,3,Software Engineer,Experienced
11,4,4,Master's,7,2,Project Manager,Experienced
13,9,1,Bachelor's,7,3,AI Researcher,Experienced
3,10,3,PhD,10,1,System Analyst,Intermediate
9,8,2,PhD,9,1,Project Manager,Experienced
1,3,0,Master's,11,2,AI Researcher,Experienced
12,9,0,Master's,8,2,Data Scientist,Experienced
10,4,1,PhD,12,1,AI Researcher,Experienced
12,2,4,PhD,13,2,Data Scientist,Experienced
1,5,1,PhD,6,1,Software Engineer,Fresher
5,2,0,Master's,7,1,System Analyst,Experienced
5,10,3,PhD,9,1,System Analyst,Experienced
9,6,4,Master's,13,1,Software Engineer,Experienced
14,6,2,Bachelor's,10,2,Project Manager,Experienced
11,9,4,Bachelor's,9,2,Data Scientist,Experienced
12,1,1,Bachelor's,7,2,Software Engineer,Experienced
9,2,3,Bachelor's,8,3,Data Scientist,Experienced
0,3,4,Master's,6,3,System Analyst,Experienced
9,5,2,Bachelor's,10,3,AI Researcher,Experienced
3,1,2,Master's,9,3,System Analyst,Intermediate
5,2,4,Bachelor's,10,1,AI Researcher,Experienced
9,4,3,Master's,5,3,AI Researcher,Experienced
3,1,2,Bachelor's,15,3,Data Scientist,Intermediate
1,9,1,PhD,4,1,Software Engineer,Fresher
8,9,0,Bachelor's,3,1,AI Researcher,Experienced
12,8,1,Bachelor's,11,3,Data Scientist,Experienced
2,3,1,PhD,7,3,System Analyst,Intermediate
13,6,1,Master's,14,3,Software Engineer,Experienced
4,1,4,PhD,3,2,Data Scientist,Intermediate
8,7,0,Bachelor's,14,2,AI Researcher,Experienced
7,3,4,Bachelor's,3,3,AI Researcher,Experienced
4,6,0,PhD,4,1,System Analyst,Intermediate
11,10,0,PhD,15,2,System Analyst,Experienced
14,10,0,Master's,9,2,AI Researcher,Experienced
